code_barre,adresseLongitude,adresseLatitude,adresseLigne1,code_postal,region,commune,populationCommune,densite,niveau_de_vie,gareLaPlusProche,distanceGare,nombre_paiements,nombre_contacts,taux de transformation
PROX-BDB-1021-352788,3.54248,45.75632,9 AV HENRI POURRAT,63120.0,Auvergne-Rhône-Alpes,Courpière,4194.0,2,18628.5,Pont-de-Dore,10.436942325415929,4.0,8,50.0
PROX-BDB-1021-352789,3.72411,45.41423,108 RTE NATIONALE,63220.0,Auvergne-Rhône-Alpes,Arlanc,1932.0,2,17142.0,Darsac,30.191707803325393,,32,
PROX-BDB-1021-352790,4.84193,45.79026,64 RUE PASTEUR,69300.0,Auvergne-Rhône-Alpes,Caluire-et-Cuire,43816.0,4,23796.190476,Lyon-St-Paul,2.945507850914442,3.0,58,5.172413793103448
PROX-BDB-1021-352791,1.25142,45.81919,4 Bd Bel Air,87000.0,Nouvelle-Aquitaine,Limoges,134460.0,4,18425.333333,Limoges-Montjovis,2.1402801569548,16.0,89,17.97752808988764
PROX-BDB-1021-352792,6.38849,45.6751,106 RUE DE LA REPUBLIQUE,73200.0,Auvergne-Rhône-Alpes,Albertville,19453.0,3,18148.666667,Albertville,1.4033975329332198,17.0,34,50.0
PROX-BDB-1021-352793,3.12323,45.89508,88 Fbg de la Bade,63200.0,Auvergne-Rhône-Alpes,Riom,19999.0,3,20484.0,Riom-Châtel-Guyon,0.5918184371101192,15.0,27,55.55555555555556
PROX-BDB-1021-352794,5.76511,45.20743,39 RUE DES AIGUINARDS,38240.0,Auvergne-Rhône-Alpes,Meylan,17528.0,4,28450.0,Grenoble-Université-Gières,2.929295008953259,3.0,34,8.823529411764707
PROX-BDB-1021-352795,3.10663,45.78762,100 AV DE LA REPUBLIQUE,63100.0,Auvergne-Rhône-Alpes,Clermont-Ferrand,146632.0,4,18613.5,Clermont-Ferrand,1.1240830921053926,8.0,65,12.307692307692308
PROX-BDB-1021-352796,5.22184,45.62118,1 B PL DU TRIFORIUM,38080.0,Auvergne-Rhône-Alpes,L'Isle-d'Abeau,16405.0,3,18522.666667,L'Isle-d'Abeau,1.5702528263081301,16.0,51,31.372549019607842
PROX-BDB-1021-352797,4.841,45.89794,1 PL DE VERDUN,69730.0,Auvergne-Rhône-Alpes,Genay,5574.0,2,23090.0,Neuville-sur-Saône,2.131845842447546,9.0,42,21.428571428571427
PROX-BDB-1021-352798,4.87379,45.82337,19 BD CASTELLANE,69580.0,Auvergne-Rhône-Alpes,Sathonay-Camp,5993.0,4,20721.428571,Sathonay-Rillieux,0.41296597784988887,5.0,23,21.73913043478261
PROX-BDB-1021-352799,4.83002,45.79852,5 PL HENRI BARBUSSE,69009.0,Auvergne-Rhône-Alpes,Lyon 9e Arrondissement,51262.0,4,18823.809524,Lyon-Vaise,2.8982314814764307,11.0,75,14.666666666666666
PROX-BDB-1021-352800,4.84267,45.75573,13 CRS GAMBETTA,69003.0,Auvergne-Rhône-Alpes,Lyon 3e Arrondissement,102752.0,4,23139.0,Lyon-Jean-Macé,1.1933454661965959,8.0,61,13.114754098360656
PROX-BDB-1021-352801,4.81888,45.74196,21 QUAI ANTOINE RIBOUD,69002.0,Auvergne-Rhône-Alpes,Lyon 2e Arrondissement,30898.0,4,24999.0,Lyon-Perrache,0.7592473532706208,5.0,42,11.904761904761903
PROX-BDB-1021-352802,4.83196,45.77317,24 RUE DES PIERRES PLANTEES,69001.0,Auvergne-Rhône-Alpes,Lyon 1er Arrondissement,30142.0,4,21794.666667,Lyon-St-Paul,0.9054609495258497,1.0,56,1.7857142857142856
PROX-BDB-1021-353104,3.54079,45.85132,9 RUE DE CLERMONT,63300.0,Auvergne-Rhône-Alpes,Thiers,12169.0,3,17249.375,Thiers,1.1159671662792714,10.0,68,14.705882352941178
PROX-BDB-1021-353105,-0.47748,48.98563,6 RUE PIERRE GRINGOIRE,14220.0,Normandie,Le Hom,3749.0,2,,Bretteville-Norrey,24.32914988798318,5.0,17,29.411764705882355
PROX-BDB-1021-353106,3.11406,50.36341,110 RUE DE VERDUN,59450.0,Hauts-de-France,Sin-le-Noble,15799.0,4,16236.410256,Sin-le-Noble,0.7707525585034456,20.0,40,50.0
PROX-BDB-1021-353107,4.95594,46.11972,87 RUE PASTEUR,1400.0,Auvergne-Rhône-Alpes,Châtillon-sur-Chalaronne,5060.0,2,20118.0,Vonnas,12.272319935068712,25.0,47,53.191489361702125
PROX-BDB-1021-353108,5.25682,45.3938,11 RUE DES CORDIERS,38260.0,Auvergne-Rhône-Alpes,La Côte-Saint-André,5097.0,2,18484.285714,Le Grand-Lemps,13.01868263015467,19.0,54,35.18518518518518
PROX-BDB-1021-353109,-0.31822,47.83884,69 RUE DU MANS,72300.0,Pays de la Loire,Sablé-sur-Sarthe,12719.0,3,17464.0,Sablé-sur-Sarthe,1.812094070580936,14.0,20,70.0
PROX-BDB-1021-353110,5.01056,45.64522,10 RUE DU STADE,69780.0,Auvergne-Rhône-Alpes,Saint-Pierre-de-Chandieu,4578.0,3,24574.0,Heyrieux,3.792058702301688,2.0,64,3.125
PROX-BDB-1021-353111,5.72621,45.17842,45 RUE DE STALINGRAD,38100.0,Auvergne-Rhône-Alpes,Grenoble,160625.0,4,19773.333333,Grenoble,0.7294191142779627,4.0,31,12.903225806451612
PROX-BDB-1021-353112,5.69275,45.19848,130 Bd Joliot Curie,38600.0,Auvergne-Rhône-Alpes,Fontaine,22790.0,1,21937.083333,Grenoble,1.9059700703999722,1.0,62,1.6129032258064515
PROX-BDB-1021-353113,2.20114,48.71433,8 BD GASPARD MONGE,91120.0,Ile-de-France,Palaiseau,35881.0,4,26344.4,Igny,3.6099677399481442,17.0,90,18.88888888888889
PROX-BDB-1021-353114,5.69217,45.11957,9 PL JEAN MONNET,38640.0,Auvergne-Rhône-Alpes,Claix,8129.0,2,27248.333333,Pont-de-Claix,0.8356203541868735,3.0,39,7.6923076923076925
PROX-BDB-1021-353115,5.76181,45.16787,10 AV ROMAIN ROLLAND,38400.0,Auvergne-Rhône-Alpes,Saint-Martin-d'Hères,38755.0,4,18926.0,Grenoble-Université-Gières,2.611004044462942,7.0,66,10.606060606060606
PROX-BDB-1021-353116,5.7186,45.18775,50 CRS JEAN JAURES,38000.0,Auvergne-Rhône-Alpes,Grenoble,160625.0,4,19773.333333,Grenoble,0.4687245851065566,4.0,30,13.333333333333334
PROX-BDB-1021-353117,5.18117,45.61232,2 RTE DE FOUR,38090.0,Auvergne-Rhône-Alpes,Vaulx-Milieu,2582.0,3,22805.0,La Verpillière,2.828618486018977,14.0,77,18.181818181818183
PROX-BDB-1021-353118,3.1278,45.67228,1 Rue du Commerce,63450.0,Auvergne-Rhône-Alpes,Tallende,1563.0,2,24222.666667,Les Martres-de-Veyre,5.398828796924383,4.0,21,19.047619047619047
